shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SH_B500A,12.977400,77.571200,1
SH_B500A,12.972306,77.575505,2
SH_B500A,12.967199,77.579802,3
SH_B500A,12.962069,77.584084,4
SH_B500A,12.956903,77.588341,5
SH_B500A,12.951690,77.592567,6
SH_B500A,12.946421,77.596756,7
SH_B500A,12.941087,77.600901,8
SH_B500A,12.935679,77.604998,9
SH_B500A,12.930192,77.609041,10
SH_B500A,12.924621,77.613029,11
SH_B500A,12.918963,77.616958,12
SH_B500A,12.913215,77.620827,13
SH_B500A,12.907378,77.624637,14
SH_B500A,12.901453,77.628389,15
SH_B500A,12.895444,77.632085,16
SH_B500A,12.889356,77.635727,17
SH_B500A,12.883195,77.639321,18
SH_B500A,12.876968,77.642872,19
SH_B500A,12.870685,77.646384,20
SH_B500A,12.864356,77.649866,21
SH_B500A,12.857991,77.653324,22
SH_B500A,12.851601,77.656766,23
SH_B500A,12.845200,77.660200,24
SH_B401K,13.035900,77.597000,1
SH_B401K,13.031410,77.598584,2
SH_B401K,13.026908,77.600159,3
SH_B401K,13.022382,77.601718,4
SH_B401K,13.017820,77.603254,5
SH_B401K,13.013212,77.604759,6
SH_B401K,13.008547,77.606226,7
SH_B401K,13.003817,77.607649,8
SH_B401K,12.999014,77.609024,9
SH_B401K,12.994132,77.610346,10
SH_B401K,12.989165,77.611611,11
SH_B401K,12.984111,77.612819,12
SH_B401K,12.978967,77.613966,13
SH_B401K,12.973734,77.615055,14
SH_B401K,12.968414,77.616085,15
SH_B401K,12.963010,77.617059,16
SH_B401K,12.957526,77.617980,17
SH_B401K,12.951969,77.618852,18
SH_B401K,12.946347,77.619680,19
SH_B401K,12.940668,77.620471,20
SH_B401K,12.934943,77.621231,21
SH_B401K,12.929182,77.621968,22
SH_B401K,12.923397,77.622688,23
SH_B401K,12.917600,77.623400,24
SH_TPL,12.969800,77.750000,1
SH_TPL,12.969354,77.739827,2
SH_TPL,12.968895,77.729646,3
SH_TPL,12.968412,77.719449,4
SH_TPL,12.967894,77.709228,5
SH_TPL,12.967329,77.698976,6
SH_TPL,12.966708,77.688687,7
SH_TPL,12.966021,77.678353,8
SH_TPL,12.965262,77.667972,9
SH_TPL,12.964423,77.657537,10
SH_TPL,12.963500,77.647046,11
SH_TPL,12.962489,77.636497,12
SH_TPL,12.961389,77.625888,13
SH_TPL,12.960200,77.615220,14
SH_TPL,12.958923,77.604493,15
SH_TPL,12.957562,77.593711,16
SH_TPL,12.956121,77.582875,17
SH_TPL,12.954608,77.571991,18
SH_TPL,12.953029,77.561063,19
SH_TPL,12.951394,77.550097,20
SH_TPL,12.949712,77.539101,21
SH_TPL,12.947995,77.528081,22
SH_TPL,12.946254,77.517044,23
SH_TPL,12.944500,77.506000,24
