trip_id,arrival_time,departure_time,stop_id,stop_sequence
B500A_T1,07:00:00,07:00:00,B500A_S1,1
B500A_T1,07:07:00,07:07:00,B500A_S2,2
B500A_T1,07:14:00,07:14:00,B500A_S3,3
B500A_T1,07:21:00,07:21:00,B500A_S4,4
B500A_T1,07:28:00,07:28:00,B500A_S5,5
B500A_T1,07:35:00,07:35:00,B500A_S6,6
B500A_T2,09:00:00,09:00:00,B500A_S1,1
B500A_T2,09:07:00,09:07:00,B500A_S2,2
B500A_T2,09:14:00,09:14:00,B500A_S3,3
B500A_T2,09:21:00,09:21:00,B500A_S4,4
B500A_T2,09:28:00,09:28:00,B500A_S5,5
B500A_T2,09:35:00,09:35:00,B500A_S6,6
B500A_T3,13:00:00,13:00:00,B500A_S1,1
B500A_T3,13:07:00,13:07:00,B500A_S2,2
B500A_T3,13:14:00,13:14:00,B500A_S3,3
B500A_T3,13:21:00,13:21:00,B500A_S4,4
B500A_T3,13:28:00,13:28:00,B500A_S5,5
B500A_T3,13:35:00,13:35:00,B500A_S6,6
B500A_T4,18:00:00,18:00:00,B500A_S1,1
B500A_T4,18:07:00,18:07:00,B500A_S2,2
B500A_T4,18:14:00,18:14:00,B500A_S3,3
B500A_T4,18:21:00,18:21:00,B500A_S4,4
B500A_T4,18:28:00,18:28:00,B500A_S5,5
B500A_T4,18:35:00,18:35:00,B500A_S6,6
B401K_T1,07:00:00,07:00:00,B401K_S1,1
B401K_T1,07:07:00,07:07:00,B401K_S2,2
B401K_T1,07:14:00,07:14:00,B401K_S3,3
B401K_T1,07:21:00,07:21:00,B401K_S4,4
B401K_T1,07:28:00,07:28:00,B401K_S5,5
B401K_T1,07:35:00,07:35:00,B401K_S6,6
B401K_T2,09:00:00,09:00:00,B401K_S1,1
B401K_T2,09:07:00,09:07:00,B401K_S2,2
B401K_T2,09:14:00,09:14:00,B401K_S3,3
B401K_T2,09:21:00,09:21:00,B401K_S4,4
B401K_T2,09:28:00,09:28:00,B401K_S5,5
B401K_T2,09:35:00,09:35:00,B401K_S6,6
B401K_T3,13:00:00,13:00:00,B401K_S1,1
B401K_T3,13:07:00,13:07:00,B401K_S2,2
B401K_T3,13:14:00,13:14:00,B401K_S3,3
B401K_T3,13:21:00,13:21:00,B401K_S4,4
B401K_T3,13:28:00,13:28:00,B401K_S5,5
B401K_T3,13:35:00,13:35:00,B401K_S6,6
B401K_T4,18:00:00,18:00:00,B401K_S1,1
B401K_T4,18:07:00,18:07:00,B401K_S2,2
B401K_T4,18:14:00,18:14:00,B401K_S3,3
B401K_T4,18:21:00,18:21:00,B401K_S4,4
B401K_T4,18:28:00,18:28:00,B401K_S5,5
B401K_T4,18:35:00,18:35:00,B401K_S6,6
TPL_T1,07:00:00,07:00:00,TPL_S1,1
TPL_T1,07:07:00,07:07:00,TPL_S2,2
TPL_T1,07:14:00,07:14:00,TPL_S3,3
TPL_T1,07:21:00,07:21:00,TPL_S4,4
TPL_T1,07:28:00,07:28:00,TPL_S5,5
TPL_T1,07:35:00,07:35:00,TPL_S6,6
TPL_T2,09:00:00,09:00:00,TPL_S1,1
TPL_T2,09:07:00,09:07:00,TPL_S2,2
TPL_T2,09:14:00,09:14:00,TPL_S3,3
TPL_T2,09:21:00,09:21:00,TPL_S4,4
TPL_T2,09:28:00,09:28:00,TPL_S5,5
TPL_T2,09:35:00,09:35:00,TPL_S6,6
TPL_T3,13:00:00,13:00:00,TPL_S1,1
TPL_T3,13:07:00,13:07:00,TPL_S2,2
TPL_T3,13:14:00,13:14:00,TPL_S3,3
TPL_T3,13:21:00,13:21:00,TPL_S4,4
TPL_T3,13:28:00,13:28:00,TPL_S5,5
TPL_T3,13:35:00,13:35:00,TPL_S6,6
TPL_T4,18:00:00,18:00:00,TPL_S1,1
TPL_T4,18:07:00,18:07:00,TPL_S2,2
TPL_T4,18:14:00,18:14:00,TPL_S3,3
TPL_T4,18:21:00,18:21:00,TPL_S4,4
TPL_T4,18:28:00,18:28:00,TPL_S5,5
TPL_T4,18:35:00,18:35:00,TPL_S6,6
