stop_id,stop_name,stop_lat,stop_lon
B500A_S1,Majestic,12.977400,77.571200
B500A_S2,Wilson Garden,12.951690,77.592567
B500A_S3,Madiwala,12.930192,77.609041
B500A_S4,BTM Layout,12.901453,77.628389
B500A_S5,Bommanahalli,12.876968,77.642872
B500A_S6,Electronic City,12.845200,77.660200
B401K_S1,Hebbal,13.035900,77.597000
B401K_S2,Mekhri Circle,13.013212,77.604759
B401K_S3,Cantonment,12.994132,77.610346
B401K_S4,MG Road,12.968414,77.616085
B401K_S5,Koramangala,12.946347,77.619680
B401K_S6,Silk Board,12.917600,77.623400
TPL_S1,Whitefield,12.969800,77.750000
TPL_S2,KR Puram,12.967329,77.698976
TPL_S3,Indiranagar,12.964423,77.657537
TPL_S4,MG Road,12.958923,77.604493
TPL_S5,Vijayanagar,12.953029,77.561063
TPL_S6,Challaghatta,12.944500,77.506000
